x_max,y_max,z_max,x_min,y_min,z_min,x_std,y_std,z_std,x_mean,y_mean,z_mean,zerocross_x,zerocross_y,zerocross_z,peaks_x,peaks_y,peaks_z,Level
-178,17,-958,-194,1,-989,3.828214047,3.586936813,5.761528919,-186.5135135,11.54545455,-971.472973,0,0,0,23,19,24,0
-175,6,-954,-192,-5,-982,3.47967069,2.80446337,5.330768497,-182,2.480769231,-971.6486486,0,12,0,23,15,25,0
-155,9,-934,-186,-10,-1014,5.31423107,4.515423929,13.7364383,-173.5945946,-1.730769231,-974.2837838,0,15,0,22,16,23,0
170,67,-919,-319,-9,-983,65.62651062,21.58205086,13.30450702,-290.9753086,49.79710145,-940.9506173,1,1,0,23,23,28,0
-303,83,-924,-320,54,-951,3.299982292,5.704319612,5.368131622,-308.6891892,69.12162162,-936.527027,0,0,0,22,21,24,0
-298,89,-924,-315,58,-953,3.775060132,5.687983996,5.763754588,-304.9041096,73.94520548,-938.109589,0,0,0,25,18,26,0
299,164,-910,-303,67,-978,63.22001827,21.68703628,12.4251581,-239.0379747,133.5194805,-947.9113924,1,0,0,20,25,22,0
-220,189,-900,-261,119,-989,8.985026983,17.24568047,17.45549897,-239.1388889,149.2941176,-946.8333333,0,0,0,20,17,21,0
-219,206,-919,-252,151,-970,7.273288929,10.57102971,11.37850802,-235.6849315,175.9178082,-943.1506849,0,0,0,22,20,19,0
-103,-74,-954,-145,-115,-996,9.097678106,9.870898439,8.962014747,-126.3055556,-93.12676056,-974.9583333,0,0,0,20,23,23,0
-130,-59,-958,-160,-102,-1006,7.474635608,7.950063572,9.426852488,-143.0694444,-84.93055556,-973.0972222,0,0,0,23,25,20,0
-141,-45,-941,-167,-86,-999,5.247987935,10.19122716,10.79620667,-154.7260274,-68.5,-973.3561644,0,0,0,28,28,24,0
-97,18,-948,-121,-16,-1003,5.201440394,8.147190251,9.815721139,-110.369863,4.671875,-978.8072289,0,23,0,21,19,26,0
-107,14,-961,-130,-2,-1009,4.708601457,4.223931745,9.68043066,-118.8648649,7.960784314,-978.7297297,0,2,0,21,16,23,0
-106,36,-958,-127,3,-1001,4.668520484,7.481588796,9.000010425,-115.7671233,25.66071429,-978.630137,0,0,0,21,18,23,0
-69,106,-856,-143,-36,-1082,16.12030073,41.95127097,45.09960204,-113.1212121,47.04444444,-972.6712329,0,13,0,23,13,27,1
-33,137,-786,-124,-29,-1097,16.86041546,41.52954137,47.76145611,-94.81538462,88.39285714,-971.3424658,0,6,0,23,18,27,1
